year,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
2008,389837,61.71,71.99,45.06,39.58,25.37,13.43,81.13,49.56,17.01,11.58,5.13,0.81,3.32,1.69,0.63,5.41,6.75,11.68,6.81,4.47,5.12,1.81,14.71,3.82,1.99,1.73,1.26,1.53,4.62,2.68,1.91,0.29,0.67,0.44,11.33,0.48,0.22,1.29,1.55,9.46,2.05,1.61,1.39,1.51,1.68,2.25,3.2,1.3,0.88,0.87,2.36,1.1,0.48,0.17,0.37,6.85,2.03,1.01,2.46,1.52,0.42,2.54,10.68,1.38,13.9,2.65,7.26,4.24,1.35,1.09,0.38,0.52,0.49,0.15,2.97,0.44,0.88,0.58,0.76,0.08,26.69,3.52,6.63,0.55,0.19,0.68,0.43,2.12,1.54,4.87,2.49,3.68
2009,241602,32.16,72.3,73.1,42.46,57.57,8.17,84.97,50.47,21.24,15.92,8.17,1.04,5.14,1.14,0.42,5.31,4.78,9.61,8.02,5.18,4.94,2.45,17.94,3.46,1.75,1.72,1.31,1.48,5.51,3.2,2.28,0.23,0.86,0.61,13.21,0.6,0.25,1.52,0.8,10.05,2.01,1.46,1.9,1.74,1.87,2.28,3.78,1.38,1.21,1.03,2.99,1.22,0.55,0.23,0.45,7.59,2.51,0.88,2.5,1.86,0.45,2.71,13.34,2.13,15.27,3.44,7.4,4.75,0.53,1.26,0.34,0.48,0.32,0.25,4.86,0.56,1.67,0.83,1.27,0.13,26.55,1.09,7.53,0.05,0.07,0.72,0.53,2.44,1.19,7.03,3.44,2.47
2010,379664,53.07,70.12,59.18,30.51,35.87,10.82,80.54,47.81,18.26,13.22,6.49,0.92,3.75,1.45,0.61,5.03,5.56,10.49,6.51,4.41,4.91,1.84,15.23,3.42,1.84,1.49,2.53,1.57,4.97,2.61,2.33,0.2,1.03,0.46,11.84,0.67,0.26,1.09,1.45,8.88,1.72,1.26,1.42,1.7,1.66,2.15,3.42,1.34,1.1,0.87,2.86,1.34,0.49,0.31,0.39,7.15,2.14,0.88,2.62,1.65,0.47,2.93,10.46,1.58,14.91,3.0,7.71,4.52,0.86,1.1,0.36,0.49,0.33,0.26,4.28,0.76,1.2,0.74,1.17,0.13,27.06,2.27,7.92,0.13,0.11,0.63,0.43,2.04,1.44,5.65,3.66,2.78
2011,654904,62.25,76.48,29.14,40.58,35.79,13.28,81.13,51.51,17.23,12.2,4.63,0.83,2.62,3.11,1.0,5.02,6.6,12.72,6.54,3.88,6.58,1.68,14.06,3.25,1.85,1.87,1.66,1.54,4.67,2.73,1.91,0.26,0.7,0.48,12.84,0.65,0.2,1.76,2.7,8.5,1.65,1.23,1.22,1.62,1.45,2.35,3.08,1.16,1.1,0.69,2.36,1.13,0.44,0.18,0.42,6.36,1.91,0.87,2.45,1.23,0.46,4.26,7.88,1.47,13.41,2.44,6.62,4.58,0.9,0.85,0.34,0.46,0.69,0.27,2.5,0.42,0.67,0.51,0.71,0.08,22.27,2.4,7.88,0.18,0.58,0.42,0.41,1.37,1.62,3.67,1.58,2.17
2012,345022,52.78,73.86,41.56,35.43,41.83,12.02,83.27,50.92,18.68,12.97,5.26,0.86,3.21,3.01,0.63,5.7,5.73,11.91,7.36,4.46,5.21,1.91,15.88,3.6,2.0,1.81,2.26,1.65,5.2,2.86,2.31,0.28,0.96,0.46,12.76,0.58,0.27,1.66,2.31,9.95,2.05,1.28,1.65,1.97,1.76,2.44,3.36,1.33,1.06,0.86,2.78,1.3,0.5,0.25,0.4,6.73,2.13,0.89,2.33,1.49,0.5,4.23,9.51,1.47,14.62,2.75,7.44,4.68,0.93,0.99,0.41,0.48,0.33,0.2,3.59,0.83,0.86,0.71,0.9,0.13,23.86,1.99,8.71,0.12,0.26,0.43,0.36,1.56,1.15,4.86,1.86,2.56
2013,260797,45.04,68.51,62.87,33.05,76.3,8.93,81.1,47.4,19.48,14.36,7.31,1.23,4.24,1.09,0.48,5.1,5.22,9.51,6.92,4.62,4.42,2.0,16.25,3.41,1.75,1.49,2.03,1.73,5.45,2.92,2.5,0.25,1.19,0.51,12.03,0.67,0.28,1.31,0.94,9.13,1.78,1.26,1.57,1.58,1.87,2.04,3.61,1.39,1.03,1.06,3.3,1.5,0.51,0.35,0.45,7.74,2.61,0.97,2.51,1.84,0.49,2.87,11.42,1.78,14.5,3.07,7.22,4.6,0.46,1.16,0.31,0.52,0.38,0.33,5.03,1.33,1.18,0.82,1.13,0.19,25.38,0.82,7.54,0.05,0.05,0.55,0.35,1.82,1.31,6.72,3.43,2.73
2014,243539,47.83,70.21,59.53,37.75,51.79,10.26,82.72,49.15,18.97,13.52,6.57,1.35,4.03,0.97,0.6,5.44,5.52,10.66,7.61,4.48,4.54,2.29,16.48,3.47,1.75,1.46,1.64,1.67,5.07,2.86,2.18,0.21,0.94,0.4,11.99,0.65,0.26,1.25,0.73,9.61,1.78,1.49,1.63,1.65,1.88,2.22,3.46,1.31,1.07,0.97,3.26,1.32,0.57,0.27,0.68,8.1,2.7,0.96,2.81,1.75,0.52,2.94,11.72,1.75,14.48,2.92,7.41,4.47,1.02,1.18,0.34,0.71,0.37,0.28,4.59,0.98,1.16,0.76,1.16,0.11,24.38,1.44,7.16,0.15,0.02,0.52,0.3,2.66,0.89,6.28,2.49,2.49
2015,318400,58.93,64.45,51.17,33.58,33.46,13.04,78.99,47.33,17.13,12.12,6.06,1.06,3.58,0.9,0.51,5.0,5.8,11.08,6.75,4.16,4.56,2.06,14.83,3.56,1.83,1.5,2.83,1.73,4.9,2.66,2.21,0.24,0.95,0.45,10.59,0.61,0.24,0.92,0.86,9.86,2.04,1.44,1.64,1.82,1.66,2.48,2.9,1.22,0.8,0.76,2.59,1.1,0.45,0.28,0.37,7.69,2.34,0.92,2.87,1.67,0.48,2.65,10.53,1.54,13.14,2.41,7.07,3.89,1.1,1.0,0.33,0.61,0.48,0.25,4.0,0.93,1.21,0.73,0.8,0.09,26.16,2.84,7.84,0.26,0.16,0.53,0.17,2.05,1.28,5.66,2.62,2.76
2016,340185,56.1,69.34,51.33,32.9,28.69,11.37,80.64,47.27,18.07,13.57,6.59,0.98,3.8,1.51,0.69,4.49,5.74,10.57,6.63,4.08,4.25,2.08,15.11,3.58,1.72,1.43,1.85,1.61,5.3,2.84,2.43,0.21,1.11,0.52,12.12,0.74,0.3,1.32,1.31,8.99,1.86,1.26,1.53,1.55,1.65,2.13,3.73,1.51,1.08,1.03,3.1,1.44,0.48,0.35,0.52,7.57,2.38,0.96,2.74,1.65,0.46,2.87,10.56,1.42,13.66,2.59,7.31,4.08,0.92,1.32,0.37,0.57,0.52,0.34,4.42,1.05,1.19,0.89,0.99,0.08,27.89,3.06,8.0,0.11,0.08,0.66,0.39,1.34,1.86,6.01,3.72,2.64
2017,329568,56.71,60.27,52.81,22.92,41.61,9.22,74.51,41.34,17.3,13.14,7.26,0.89,3.69,0.83,0.48,4.15,4.74,8.61,5.64,3.69,3.26,2.03,13.9,3.67,1.59,1.27,1.59,1.41,5.61,2.7,2.89,0.25,1.52,0.5,10.62,0.77,0.42,1.13,0.86,8.05,1.61,1.18,1.41,1.41,1.49,1.74,3.15,1.24,0.88,0.91,3.12,1.24,0.52,0.45,0.62,7.84,2.26,0.84,3.1,1.7,0.52,2.65,9.93,1.44,13.04,2.61,7.01,3.76,0.6,1.18,0.35,0.72,0.57,0.52,5.96,1.55,1.97,1.31,0.88,0.14,32.13,2.13,8.04,0.06,0.02,0.64,0.18,4.15,1.8,6.6,4.9,3.62
