url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart
http://www.billboard.com/charts/hot-100/1963-06-01,6/1/1963,11,Still,Bill Anderson,StillBill Anderson,1,17,11,8
http://www.billboard.com/charts/hot-100/1967-01-07,1/7/1967,11,Coming Home Soldier,Bobby Vinton,Coming Home SoldierBobby Vinton,1,17,11,8
http://www.billboard.com/charts/hot-100/1971-07-03,7/3/1971,11,She's Not Just Another Woman,The 8th Day,She's Not Just Another WomanThe 8th Day,1,17,11,8
http://www.billboard.com/charts/hot-100/1975-11-29,11/29/1975,11,Saturday Night,Bay City Rollers,Saturday NightBay City Rollers,1,17,11,8
http://www.billboard.com/charts/hot-100/1979-09-29,9/29/1979,11,Pop Muzik,M,Pop MuzikM,1,17,11,8
http://www.billboard.com/charts/hot-100/1987-09-19,9/19/1987,11,Carrie,Europe,CarrieEurope,1,17,11,8
http://www.billboard.com/charts/hot-100/1987-10-03,10/3/1987,11,Casanova,Levert,CasanovaLevert,1,17,11,8
http://www.billboard.com/charts/hot-100/2016-06-25,6/25/2016,95,Piece By Piece,Kelly Clarkson,Piece By PieceKelly Clarkson,1,91,8,15
http://www.billboard.com/charts/hot-100/2008-08-30,8/30/2008,97,Teenage Love Affair,Alicia Keys,Teenage Love AffairAlicia Keys,1,91,54,15
https://www.billboard.com/charts/hot-100/2019-06-08,6/8/2019,3,Talk,Khalid,TalkKhalid,1,5,3,16
